id,song,artist,tonality,capo,chords
835,With Or Without You,U2,D,0,"D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,D,D,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G"
1345,Youre Still The One,Shania Twain,Eb,1,"D,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A,D,G,Em,A,D,G,A,D,G,Em,A,D,G,A,D,G,A"
1406,Jumper,Third Eye Blind,,0,"E,A,D,G,B,E,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Am,C,G,Am,C,G,Am,D11,C,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Am,C,G,Am,C,G,Am,D11,C,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,Fmaj7,C,G,D11,C,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,Fmaj7,C,G,Fmaj7,C,G"
1433,Drops Of Jupiter,Train,C,0,"C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,F,C,G,F,G,D,F,C,G,D,Dm,F,C,G,F,F,C,G,F,C,G,Bb,F,G,D,F,C,G,D,F,C,G,D,Dm,F,C,G,F,C,G,F,C,G,Bb,F"
2704,Kiss Me,Sixpence None the Richer,Eb,3,"C,Cmaj7,C7,Dm,G,Am,Gsus4,Fmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,F,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Dm,G,C,C7,Dm,G,C,Am,Fmaj7,Gsus4,G,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C,Cmaj7,C7,Cmaj7,C"
2707,Kiss Me,Sixpence None the Richer,D,1,"D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,G,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,Bm,Em,A,D,D7,Em,A,D,D/C#,Bm7,Gmaj7,Asus4,A,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D,Dmaj7,D7,Dmaj7,D"
3391,Grow Old With You,Adam Sandler,A,0,"A,Bm,C#m,D,A,E,D,A,E,A,Bm,C#m,D,A,E,D,A,A7,D,A,D,E,E,D,A,Bm,C#m,D,A,E,D,A,E,D,A"
4017,Wild Horses,The Rolling Stones,C,0,"G,Am7,G,Am7,G,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,C,C,D,G,Bm,G,Bm,G,Am7,C,D,G,D,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C,Bm,G,Bm,G,Am7,C,D,G,D,Am7,C,D,G,F,C,Bm,Am7,C,D,G,F,C"
4019,You Cant Always Get What You Want,The Rolling Stones,G,0,"G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,D,C,D,C,C,G,Gadd9,G,C,G,Gadd9,G,G,Gadd9,G,D,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,G,Gadd9,G,C,A,C,G,G,Gadd9,G,C"
4149,Fake Plastic Trees,Radiohead,A,0,"A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,A,F#m7,E,E6,D5,A,D5,A,F#m7,E,E6,D5,A,D5,Bm7,A,Asus,Bm7,A,Asus,Bm7,A,Bm7,A,Bm7,Asus,A,Bm7,Asus,A"
4169,Creep,Radiohead,G,0,"G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G,B,C,Cm,G"
5655,Free Fallin,Tom Petty,F,8,"A,D,D,A,E,A,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,Asus4,A,E,A,Asus4,Asus4,A,E,A,Asus4,A,E,A,Asus4,Asus4,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,A,D,D,A,E,D,A"
6091,Champagne Supernova,Oasis,A,0,"Asus2,Asus2/F#,A,G,D/F#,E,G,A,D,F,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,A,G,D/F#,E,A,G,D/F#,E,G,A,G,D,E,A,G,D/F#,F,G,A,G,D/F#,F,G,A,G,D/F#,F,G,F,G,F,G,Asus2,Asus2/F#,Asus2,Asus2/F#,E,Asus2,Asus2/F#,Asus2,Asus2/F#,Asus2,Asus2/F#,F,G,Asus2"
6097,Dont Look Back In Anger,Oasis,C,0,"C,F,C,F,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,Fm,C,F,Fm,C,F,Fm,C,G,E7/G#,Am,G,F,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,F,Fm,C,G,E7/G#,Am,G,F,G,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,E7,F,G,C,Am,G,C,G,Am,F,Fm,C,G,Am,E7,F,Fm,C"
6124,Whatever,Oasis,,0,"G,G,Dsus4/F#,E,Em7,Dsus4,Cadd9,A7sus4,A2,B5,F#,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,Em7,A7sus4,Cadd9,G,G,Dsus4/F#,Em7,A7sus4,Cadd9,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,Em7,A7sus4,Cadd9,G,G,Dsus4/F#,Em7,A7sus4,Cadd9,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,B5,G,B5,G,B5,G,B5,F#,E,E,G,A2,E,E,G,A2,E,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4,G,Dsus4/F#,Em7,Dsus4,Cadd9,Dsus4,G,Dsus4"
6125,Wonderwall,Oasis,F#m,0,"F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,A,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,F#m7,A,Esus4,B7sus4,D,Esus4,F#m,D,Esus4,F#m,D,Esus4,F#m7,Esus4,A,Esus4,B7sus4,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7,D,F#m7,A,F#m7"
8802,Nothing Else Matters,Metallica,Em,0,"Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,C,A,D,C,A,D,C,A,D,C,A,D,C,A,D,Em,Em,D,C,Em,D,C,Em,D,C,G,B7,Em,Em"
9306,Imagine,John Lennon,C,0,"C,Cmaj7,F,Cadd9,F,Cadd9,Cmaj7,F,Cadd9,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,C,Cmaj7,F,F,Dm7,G,G7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C,Cmaj7,E,E7,F,G,C"
9324,Jealous Guy,John Lennon,G,0,"G,Em,D,D7,Em,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,Em,Em6,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,G,Em,D,D6,D7,D7,Em,Em7,Em6,D,Dsus4,D,Em,Em7,C,G,C,Dsus4,G,Bb,G,G/F#,Em,C,G,C,G,C,G"
9344,Working Class Hero,John Lennon,Am,0,"Am,Am,Am,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,Am,Am,G,D,Am,Am,G,Am,Am,G,D,Am"
10266,When You Say Nothing At All,Ronan Keating,G,0,"G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,C,D,Dsus4,D,Dsus4,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,Em,Bm,C,D,G,D,C,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,E,B,A,B,E,B,A,B,E,B,A,B,A,B,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G"
10744,Rocket Man,Elton John,Gm,3,"Em7,A9,Em7,A9,C,Am,D/F#,D,Em7,A9,Em7,A9,C,Am,D/F#,D,C,G,C,G,C,A9,C,G,C,G,C,G,C,A9,C,G,C,Em7,A9,Em7,A9,C,Am,D/F#,D,Em7,A,Em7,A,C,G,Am,D/F#,D,G,C,G,C,A9,C,G,C,G,C,G,C,A9,C,G,C,G,C,G"
11066,Wicked Game,Chris Isaak,Bm,0,"Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E,Bm,A,E"
11489,Torn,Natalie Imbruglia,F,0,"F,Bb,F,Gm,F,Am,Bb,F,Am,Bb,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,F,Am,Bb,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,Dm,C,Bb,Dm,F,C,Dm,C,Am,C,F,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,C,Bb,Dm,C,F,F,F,F,F,Am,Bb,F,Am,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb"
11603,Let Her Cry,Hootie & the Blowfish,,0,"G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G,C,G,C,Em,G,D,C,G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G,C,G,C,Em,G,D,C,G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G,C,G,C,Em,G,D,C,G,D,G,C,G,C,Em,G,D,C,G,D,C,G"
12649,Sweet Child O Mine,Sheryl Crow,D,0,"D,D,D7,D7,D,Cadd9,G,D,D,Cadd9,G,D,Am,Cadd9,D,Am,F,D,D,Cadd9,G,D,D,Cadd9,G,D,D,Cadd9,G,D,Am,Cadd9,D,Am,F,D,Am,Cadd9,D,Am,F,D,Em,C,Bm7,Am,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em,G,Am,C,D,Em"
12726,Patience,Guns N Roses,C,0,"C,G,A,D,C,G,A,D,C,G,C,Em,C,G,D,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,A,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,Dsus2,D,Dsus4,D,Dsus2,D,Dsus2,D,Dsus4,D,Dsus2,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,C,G,C,Em,C,G,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,Dsus2,D,Dsus4,D,Dsus2,D,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,D,G,F,G,D,G,D"
12835,Good Riddance Time Of Your Life,Green Day,G,0,"G,G,Cadd9,D,G,G,Cadd9,D,G,Cadd9,D,G,Cadd9,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G,Cadd9,D,G,Cadd9,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G,G,Cadd9,D,G,G,Cadd9,D,Em,D,C,G,Em,D,C,G,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,Em,G,Em,G,Em,D,G,G,G,Cadd9,D,G,G,Cadd9,D,G"
13305,Superman Its Not Easy,Five for Fighting,C,0,"C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,F,C,Am,C,Dm,Am,D,C,D,F,G,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,Am,F,C,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C"
13586,Go Your Own Way,Fleetwood Mac,,0,"F,F,C,Bb,Bb,F,F,C,Bb,Bb,F,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,F,C,Bb,Bb,F,F,C,Bb,Bb,F,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,F,C,Bb,F,C,Bb,F,C,Bb,F,C,Bb,F,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C,Dm,Bb,C"
